,name,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
132,Applausje / Ik Weiger,True,22,0.523,0.58,11,-6.709,0,0.219,0.0986,2.37e-05,0.0971,0.142,141.155
133,Excuses,True,20,0.574,0.485,0,-9.141,0,0.0777,0.0421,1.81e-05,0.539,0.331,109.006
134,Als Je Zoekt,True,19,0.722,0.809,1,-3.545,0,0.332,0.109,0.0,0.0995,0.372,82.647
135,Dagelijkse Sleur,True,20,0.598,0.706,8,-7.482,1,0.293,0.0925,0.0,0.0792,0.494,84.919
136,Het Moment,True,19,0.513,0.615,1,-6.838,1,0.121,0.18,5.01e-05,0.132,0.255,119.961
137,Hier Bij Mij,True,20,0.602,0.799,4,-5.42,0,0.339,0.155,2.33e-05,0.197,0.212,164.156
138,Gebroken Van Binnen,True,22,0.642,0.693,0,-6.258,1,0.234,0.0357,0.00047,0.0847,0.0381,167.923
139,Outro,True,23,0.562,0.39,9,-10.03,0,0.0692,0.676,0.0,0.174,0.406,79.621
140,Ecktuh Mannetjes,True,17,0.607,0.85,2,-6.431,1,0.324,0.0551,0.0,0.134,0.605,87.82
141,In Controle,False,21,0.686,0.454,6,-7.183,0,0.0924,0.469,6.46e-06,0.183,0.57,124.076
142,Drop Top,True,26,0.777,0.529,11,-7.727,0,0.457,0.52,0.0,0.24,0.813,129.99
143,Profits,True,22,0.478,0.661,11,-6.389,0,0.399,0.429,0.0,0.343,0.429,72.993
144,Rangers,True,27,0.688,0.658,7,-7.235,0,0.407,0.488,0.0,0.0943,0.7,76.12
145,Keihardcore,False,8,0.758,0.796,2,-7.052,1,0.253,0.0625,0.0,0.0445,0.914,103.584
146,Denksport,False,9,0.662,0.684,1,-6.759,1,0.318,0.0289,0.0,0.056,0.818,195.04
147,Woord,False,8,0.489,0.621,0,-7.778,1,0.117,0.207,0.0,0.681,0.714,139.283
148,Hiphopisdesjit,False,14,0.768,0.603,1,-5.928,1,0.205,0.0364,0.0,0.33,0.786,99.427
149,Tijdperk,False,7,0.569,0.665,10,-7.294,0,0.451,0.167,0.0,0.0955,0.807,96.684
150,De Cypher,False,7,0.752,0.771,6,-7.049,0,0.283,0.144,0.0,0.898,0.825,98.299
151,Levensmoe,False,11,0.766,0.644,9,-6.905,0,0.351,0.0536,2.44e-06,0.62,0.643,93.84
152,Als Ik...,False,10,0.446,0.768,10,-8.318,0,0.513,0.161,0.0,0.129,0.497,84.396
153,Weerwoord,False,4,0.688,0.818,6,-7.083,0,0.314,0.175,0.0,0.425,0.792,92.239
154,Ik Meen 't Echt,False,14,0.725,0.744,2,-6.791,0,0.166,0.182,0.0,0.146,0.705,91.465
155,Doorhalen,False,28,0.583,0.9,6,-7.155,1,0.472,0.0857,0.0,0.713,0.556,86.248
156,Dubbel O (feat. Sjaak),False,33,0.758,0.563,4,-10.929,0,0.137,0.149,0.0,0.304,0.599,96.065
157,Eet Wat De Pot Schaft,False,6,0.753,0.639,6,-6.103,0,0.257,0.0838,1.43e-05,0.128,0.664,174.041
